Model,RMSE,MAE,R²,MAPE (%),Time (s)
XGBoost,362.8933631432014,200.37377057477113,0.8948730514034846,20.117142550319546,0.036986589431762695
LightGBM,409.56482754289544,213.99365710339814,0.866093606167923,21.709554655429013,0.037036895751953125
Random Forest,435.0662331237029,203.19601743582209,0.8488992002829432,19.328299522741343,0.4889042377471924
CatBoost,457.26199592700135,245.0028766004921,0.8330885142373672,24.352125677121823,0.20049357414245605
Ridge Regression,776.4201301764728,492.33130274814454,0.5187734486825987,59.027990158600886,0.0010437965393066406
Linear Regression,776.4612868263125,492.24682526789604,0.518722429403659,59.00007948920361,0.0015187263488769531
